"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-01","1965","01","01","","5.0","","-1.7","","1.7","","16.3","","0.0","","4.3","","0.0","T","4.3","","43","","18","","113",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-02","1965","01","02","","5.0","","0.0","","2.5","","15.5","","0.0","","7.6","","29.2","","30.2","","23","","18","","40",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-03","1965","01","03","","1.1","","-8.3","","-3.6","","21.6","","0.0","","0.0","","4.8","","4.1","","46","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-04","1965","01","04","","-5.6","","-8.3","","-7.0","","25.0","","0.0","","0.0","","0.5","","0.5","","43","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-05","1965","01","05","","-0.6","","-8.3","","-4.5","","22.5","","0.0","","2.0","","2.5","","5.6","","41","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-06","1965","01","06","","-4.4","","-8.3","","-6.4","","24.4","","0.0","","0.0","","11.4","","10.2","","36","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-07","1965","01","07","","1.1","","-7.2","","-3.1","","21.1","","0.0","","0.0","T","2.0","","1.5","","46","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-08","1965","01","08","","3.3","","1.1","","2.2","","15.8","","0.0","","5.8","","0.0","T","5.8","","43","","18","","37",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-09","1965","01","09","","3.9","","0.0","","2.0","","16.0","","0.0","","0.0","T","0.0","","0.0","T","36","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-10","1965","01","10","","3.9","","-5.6","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-11","1965","01","11","","0.6","","-9.4","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-12","1965","01","12","","2.8","","-0.6","","1.1","","16.9","","0.0","","0.0","T","0.0","","0.0","T","33","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-13","1965","01","13","","3.9","","1.1","","2.5","","15.5","","0.0","","8.9","","0.0","","8.9","","30","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-14","1965","01","14","","5.0","","1.1","","3.1","","14.9","","0.0","","3.6","","0.0","","3.6","","28","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-15","1965","01","15","","4.4","","-3.9","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-16","1965","01","16","","8.9","","-3.9","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-17","1965","01","17","","3.9","","-5.0","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","1965-01-18","1965","01","18","","5.0","","-7.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
