"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-01","2012","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-02","2012","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-03","2012","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-04","2012","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-05","2012","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-06","2012","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-07","2012","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-08","2012","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-09","2012","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-10","2012","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-11","2012","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-12","2012","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-13","2012","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-14","2012","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-15","2012","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-16","2012","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-17","2012","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-18","2012","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-19","2012","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-20","2012","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-21","2012","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-22","2012","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-23","2012","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-24","2012","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-25","2012","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-26","2012","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-27","2012","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-28","2012","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-122.36","49.03","ABBOTSFORD A","1100031","2012-01-29","2012","01","29","","","","","","","","","","","","","","","","","","","","","","",""
